iter	Passed	Remaining
0	147	146881
1	148	74205
2	150	49942
3	151	37772
4	153	30466
5	154	25643
6	156	22183
7	157	19550
8	159	17524
9	160	15903
10	162	14604
11	164	13503
12	165	12578
13	166	11758
14	168	11071
15	171	10569
16	173	10019
17	174	9525
18	176	9096
19	177	8717
20	179	8360
21	180	8036
22	182	7745
23	183	7479
24	185	7224
25	186	6988
26	188	6776
27	189	6571
28	190	6381
29	192	6213
30	193	6058
31	195	5910
32	197	5774
33	198	5638
34	200	5518
35	201	5396
36	202	5281
37	204	5178
38	205	5074
39	207	4975
40	208	4883
41	210	4801
42	212	4718
43	213	4640
44	216	4605
45	218	4530
46	219	4460
47	221	4393
48	223	4339
49	224	4272
50	226	4214
51	228	4159
52	229	4107
53	231	4047
54	232	3991
55	233	3938
56	234	3887
57	236	3843
58	238	3799
59	239	3755
60	241	3717
61	242	3674
62	244	3635
63	245	3596
64	247	3555
65	248	3516
66	250	3482
67	250	3437
68	252	3402
69	253	3371
70	255	3340
71	256	3311
72	258	3282
73	260	3255
74	263	3253
75	265	3230
76	267	3207
77	269	3180
78	270	3152
79	271	3126
80	273	3102
81	274	3078
82	276	3052
83	277	3023
84	278	2994
85	279	2973
86	280	2947
87	282	2927
88	283	2905
89	285	2885
90	286	2865
91	288	2846
92	289	2826
93	293	2825
94	294	2807
95	296	2788
96	297	2768
97	298	2751
98	300	2737
99	302	2720
100	303	2702
101	304	2678
102	307	2677
103	310	2673
104	311	2658
105	313	2642
106	314	2628
107	316	2612
108	318	2599
109	319	2585
110	321	2574
111	323	2563
112	324	2550
113	326	2537
114	328	2526
115	329	2513
116	331	2502
117	333	2491
118	334	2476
119	336	2469
120	338	2462
121	340	2449
122	341	2434
123	343	2423
124	344	2413
125	346	2402
126	348	2392
127	348	2377
128	350	2367
129	351	2354
130	353	2344
131	354	2333
132	356	2321
133	357	2311
134	359	2301
135	360	2291
136	362	2283
137	363	2272
138	365	2264
139	366	2253
140	368	2245
141	369	2235
142	371	2224
143	372	2216
144	374	2207
145	376	2199
146	377	2189
147	378	2180
148	382	2187
149	384	2178
150	386	2170
151	387	2160
152	388	2153
153	390	2145
154	392	2137
155	393	2130
156	395	2122
157	397	2116
158	398	2108
159	399	2099
160	401	2090
161	402	2083
162	404	2074
163	405	2066
164	406	2058
165	408	2051
166	410	2046
167	411	2039
168	413	2032
169	414	2023
170	415	2015
171	417	2009
172	418	2002
173	420	1996
174	422	1989
175	423	1983
176	425	1976
177	426	1970
178	427	1961
179	429	1954
180	429	1944
181	431	1937
182	432	1930
183	434	1924
184	435	1919
185	437	1913
186	438	1908
187	440	1901
188	442	1898
189	443	1891
190	445	1884
191	446	1878
192	447	1872
193	449	1865
194	450	1860
195	451	1853
196	453	1849
197	455	1844
198	459	1847
199	461	1846
200	463	1842
201	464	1836
202	466	1832
203	468	1827
204	469	1822
205	471	1817
