iter	Passed	Remaining
0	151	151212
1	157	78766
2	164	54787
3	167	41748
4	170	33848
5	173	28678
6	176	24971
7	178	22120
8	180	19904
9	182	18072
10	184	16585
11	187	15441
12	189	14421
13	192	13543
14	193	12720
15	195	12002
16	197	11408
17	199	10891
18	202	10438
19	203	9994
20	205	9567
21	206	9171
22	207	8807
23	208	8484
24	209	8177
25	210	7896
26	211	7634
27	213	7418
28	215	7214
29	216	6998
30	217	6796
31	218	6601
32	219	6420
33	220	6254
34	221	6096
35	221	5943
36	222	5798
37	223	5661
38	224	5530
39	226	5426
40	227	5322
41	229	5240
42	231	5159
43	233	5063
44	234	4967
45	235	4874
46	236	4785
47	237	4708
48	238	4631
49	239	4552
50	240	4477
51	242	4416
52	243	4352
53	244	4288
54	245	4225
55	246	4160
56	247	4098
57	248	4042
58	250	3987
59	250	3931
60	251	3875
61	252	3821
62	253	3768
63	254	3716
64	255	3668
65	257	3638
66	258	3595
67	259	3554
68	260	3511
69	261	3470
70	262	3428
71	263	3389
72	263	3350
73	264	3311
74	265	3277
75	266	3241
76	267	3210
77	268	3178
78	269	3145
79	271	3117
80	273	3101
81	274	3073
82	275	3039
83	276	3011
84	277	2982
85	278	2955
86	278	2926
87	279	2897
88	280	2871
89	281	2844
90	282	2817
91	282	2792
92	283	2767
93	284	2744
94	286	2725
95	287	2706
96	288	2685
97	289	2663
98	290	2641
99	291	2621
100	292	2601
101	293	2580
102	293	2559
103	294	2538
104	295	2518
105	296	2498
106	296	2478
107	297	2460
108	298	2440
109	299	2422
110	300	2409
111	302	2401
112	303	2385
113	304	2369
114	305	2352
115	306	2335
116	307	2318
117	307	2301
118	308	2285
119	309	2269
120	310	2254
121	310	2237
122	311	2222
123	312	2206
124	313	2191
125	313	2178
126	314	2165
127	316	2159
128	318	2150
129	319	2139
130	320	2127
131	321	2115
132	322	2102
133	323	2090
134	324	2077
135	325	2064
136	325	2052
137	326	2040
138	327	2028
139	328	2016
140	329	2006
141	330	1995
142	331	1987
143	332	1977
144	333	1966
145	334	1956
146	335	1945
147	336	1935
148	337	1925
149	337	1914
150	338	1904
151	339	1894
152	340	1884
153	341	1874
154	341	1864
155	342	1854
156	343	1845
157	345	1839
158	347	1839
159	348	1831
160	349	1820
161	350	1811
162	351	1803
163	352	1794
164	352	1785
165	353	1777
166	354	1769
